Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/05  01:00:00,,,,,,,,,11268491.819707692,0.0,4566240.878071144 
 01/05  02:00:00,,,,,,,,,11691620.935869655,0.0,4566240.878071144 
 01/05  03:00:00,,,,,,,,,12307623.648319889,0.0,5740904.026302105 
 01/05  04:00:00,,,,,,,,,12880530.952467524,0.0,6045691.256351011 
 01/05  05:00:00,,,,,,,,,13360979.330482487,0.0,4566240.878071144 
 01/05  06:00:00,,,,,,,,,13849725.4964566,0.0,4566240.878071144 
 01/05  07:00:00,,,,,,,,,14306862.019019444,0.0,7767285.463739807 
 01/05  08:00:00,,,,,,,,,41724185.18689605,0.0,8582619.939751647 
 01/05  09:00:00,,,,,,,,,37821853.982478075,0.0,10914719.06496 
 01/05  10:00:00,,,,,,,,,33988772.07513781,0.0,8202352.108682378 
 01/05  11:00:00,,,,,,,,,30888661.674756642,0.0,7375787.180874848 
 01/05  12:00:00,,,,,,,,,28595430.20998162,0.0,4566240.878071144 
 01/05  13:00:00,,,,,,,,,27014017.003578488,0.0,7375810.861115186 
 01/05  14:00:00,,,,,,,,,23505339.43722057,0.0,7375636.847646613 
 01/05  15:00:00,,,,,,,,,19288825.36295165,0.0,4566240.878071144 
 01/05  16:00:00,,,,,,,,,21069281.478864226,0.0,7375434.675996665 
 01/05  17:00:00,,,,,,,,,25882649.276175722,0.0,4566240.878071144 
 01/05  18:00:00,,,,,,,,,27137131.3294994,0.0,8711627.69152902 
 01/05  19:00:00,,,,,,,,,27228834.32198604,0.0,10181039.244152471 
 01/05  20:00:00,,,,,,,,,4077935.115595335,0.0,7916351.185482107 
 01/05  21:00:00,,,,,,,,,7605428.137331115,0.0,7844259.048414959 
 01/05  22:00:00,,,,,,,,,8500065.38517473,0.0,7767287.256188116 
 01/05  23:00:00,,,,,,,,,9215934.67829547,0.0,7767439.3160934765 
 01/05  24:00:00,-4.088541666666665,-7.080208333333332,-5.141229228510597,14.5703125,132.4921875,171.49660012976298,-20.001856138640335,51377581.2017472,9831611.048577076,0.0,7768051.095203703 
 01/06  01:00:00,,,,,,,,,10337119.322795743,0.0,6785970.368388919 
 01/06  02:00:00,,,,,,,,,10796599.69758221,0.0,5000853.574314665 
 01/06  03:00:00,,,,,,,,,11175823.510339584,0.0,4566240.878071144 
 01/06  04:00:00,,,,,,,,,11454918.7611023,0.0,4566240.878071144 
 01/06  05:00:00,,,,,,,,,11714362.776720967,0.0,7220939.322861209 
 01/06  06:00:00,,,,,,,,,11923064.762987832,0.0,4566240.878071144 
 01/06  07:00:00,,,,,,,,,12126704.507045342,0.0,7767404.884284498 
 01/06  08:00:00,,,,,,,,,38591156.468308605,0.0,7767310.146578092 
 01/06  09:00:00,,,,,,,,,34922725.30464868,0.0,9791168.278868245 
 01/06  10:00:00,,,,,,,,,31786667.54147021,0.0,10249900.424965927 
 01/06  11:00:00,,,,,,,,,29068194.489852153,0.0,4566240.878071144 
 01/06  12:00:00,,,,,,,,,26811103.750962887,0.0,7375748.2834825395 
 01/06  13:00:00,,,,,,,,,25548825.027881034,0.0,7375772.021244707 
 01/06  14:00:00,,,,,,,,,24765831.4449371,0.0,4566240.878071144 
 01/06  15:00:00,,,,,,,,,24014260.202518906,0.0,7375795.722608151 
 01/06  16:00:00,,,,,,,,,24331679.039862983,0.0,4566240.878071144 
 01/06  17:00:00,,,,,,,,,25049133.092965636,0.0,7375792.617096576 
 01/06  18:00:00,,,,,,,,,24798933.83396745,0.0,7843491.603848671 
 01/06  19:00:00,,,,,,,,,24284086.814669997,0.0,7844273.85222559 
 01/06  20:00:00,,,,,,,,,2354142.444023398,0.0,7843256.27448483 
 01/06  21:00:00,,,,,,,,,5361517.62151112,0.0,10133893.40287779 
 01/06  22:00:00,,,,,,,,,6205487.232011349,0.0,8732353.003622584 
 01/06  23:00:00,,,,,,,,,6845142.266499046,0.0,7767437.804657226 
