ogc_fid,zone_name,param_name,param_value
4136732,Zone1_FrontPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone1_FrontPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone1_FrontPerimeter,ventilation_object_name,Zone1_FrontPerimeter Ideal Loads
4136732,Zone1_FrontPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_FrontPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone1_FrontPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone1_RightPerimeter,infiltration_object_name,Infil_non_residential_D_Zone1_RightPerimeter
4136732,Zone1_RightPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone1_RightPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone1_RightPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone1_RightPerimeter,ventilation_object_name,Zone1_RightPerimeter Ideal Loads
4136732,Zone1_RightPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_RightPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone1_RightPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone1_RearPerimeter,infiltration_object_name,Infil_non_residential_D_Zone1_RearPerimeter
4136732,Zone1_RearPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone1_RearPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone1_RearPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone1_RearPerimeter,ventilation_object_name,Zone1_RearPerimeter Ideal Loads
4136732,Zone1_RearPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
4136732,Zone1_RearPerimeter,ventilation_flow_m3_s,0.009267852885778586
4136732,Zone1_RearPerimeter,ventilation_schedule_name,VentSched_DayNight
4136732,Zone1_LeftPerimeter,infiltration_object_name,Infil_non_residential_D_Zone1_LeftPerimeter
4136732,Zone1_LeftPerimeter,infiltration_object_type,ZONEINFILTRATION:DESIGNFLOWRATE
4136732,Zone1_LeftPerimeter,infiltration_flow_m3_s,0.00040495681634872
4136732,Zone1_LeftPerimeter,infiltration_schedule_name,AlwaysOnSched
4136732,Zone1_LeftPerimeter,ventilation_object_name,Zone1_LeftPerimeter Ideal Loads
4136732,Zone1_LeftPerimeter,ventilation_object_type,ZONEHVAC:IDEALLOADSAIRSYSTEM
