Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_2_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 03/21  15:00:00,,,,,,,,,,71721782.0550092,0.0,3339296.514321888 
 03/21  16:00:00,,,,,,,,,,86882102.03575921,0.0,6069173.8542221375 
 03/21  17:00:00,,,,,,,,,,90528540.77207774,0.0,3339296.514321888 
 03/21  18:00:00,,,,,,,,,,89658487.4637399,0.0,6272441.715264808 
 03/21  19:00:00,,,,,,,,,,91714529.69974048,0.0,6272947.779544896 
 03/21  20:00:00,,,,,,,,,,184463670.62882954,0.0,3339296.514321888 
 03/21  21:00:00,,,,,,,,,,175058972.21856105,0.0,6272856.97275779 
 03/21  22:00:00,,,,,,,,,,151171372.64243048,0.0,6241423.172078095 
 03/21  23:00:00,,,,,,,,,,130220923.21526504,0.0,6241899.965182268 
 03/21  24:00:00,4.979166666666667,3.140625,4.141131982351118,73.35677083333333,23.7421875,170.82164331442962,-0.03694760561828284,33428709.829412382,0.0,152055340.9246887,0.0,3339296.514321888 
 03/22  01:00:00,,,,,,,,,,173722098.9895519,0.0,5993942.792659299 
 03/22  02:00:00,,,,,,,,,,172110460.0734325,0.0,3339296.514321888 
 03/22  03:00:00,,,,,,,,,,172496527.4888418,0.0,3339296.514321888 
 03/22  04:00:00,,,,,,,,,,172959063.823062,0.0,3658539.889518797 
 03/22  05:00:00,,,,,,,,,,177276595.36229238,0.0,5674507.126634002 
 03/22  06:00:00,,,,,,,,,,183527918.2093196,0.0,3339296.514321888 
 03/22  07:00:00,,,,,,,,,,200830664.2635987,0.0,6241901.329805905 
 03/22  08:00:00,,,,,,,,,,119216598.23471291,0.0,4464094.131900538 
 03/22  09:00:00,,,,,,,,,,113051710.69208083,0.0,5503555.078732475 
 03/22  10:00:00,,,,,,,,,,116412506.8685112,0.0,6124160.194549298 
 03/22  11:00:00,,,,,,,,,,116517251.65925084,0.0,6069111.4104630165 
 03/22  12:00:00,,,,,,,,,,104089568.02307394,0.0,3339296.514321888 
 03/22  13:00:00,,,,,,,,,,97134821.17131373,0.0,6068595.423606196 
 03/22  14:00:00,,,,,,,,,,86811192.0620615,0.0,3339296.514321888 
 03/22  15:00:00,,,,,,,,,,102989330.25860983,0.0,6069056.046491304 
 03/22  16:00:00,,,,,,,,,,108646707.77768531,0.0,3339296.514321888 
 03/22  17:00:00,,,,,,,,,,105453387.89457701,0.0,3339296.514321888 
 03/22  18:00:00,,,,,,,,,,108809694.59942906,0.0,6272893.184111044 
 03/22  19:00:00,,,,,,,,,,111844606.66626887,0.0,6272802.371353274 
 03/22  20:00:00,,,,,,,,,,216299995.9309939,0.0,6272334.00957939 
 03/22  21:00:00,,,,,,,,,,228096672.97173843,0.0,4808398.09120058 
 03/22  22:00:00,,,,,,,,,,233546462.16182747,0.0,4787469.037291651 
 03/22  23:00:00,,,,,,,,,,237535024.44515303,0.0,6241938.545467747 
 03/22  24:00:00,3.8156250000000003,2.1548382253981098,3.116868149445018,65.91145833333333,133.84895833333334,170.88884757634938,0.3132519280076407,35996874.7435758,0.0,241597626.96415186,0.0,6241269.572969565 
 03/23  01:00:00,,,,,,,,,,249440125.50695118,0.0,3339296.514321888 
 03/23  02:00:00,,,,,,,,,,260074378.00643244,0.0,3339296.514321888 
 03/23  03:00:00,,,,,,,,,,251474763.70016396,0.0,3339296.514321888 
 03/23  04:00:00,,,,,,,,,,245006905.98821875,0.0,5993994.520527976 
 03/23  05:00:00,,,,,,,,,,246869066.39376053,0.0,3339296.514321888 
 03/23  06:00:00,,,,,,,,,,249907837.43621007,0.0,3339296.514321888 
 03/23  07:00:00,,,,,,,,,,296782196.861712,0.0,6241630.759623367 
 03/23  08:00:00,,,,,,,,,,184176232.90304905,0.0,6241611.879253143 
 03/23  09:00:00,,,,,,,,,,145342851.0103408,0.0,6407911.893934764 
 03/23  10:00:00,,,,,,,,,,115892086.60326561,0.0,6408487.893888134 
 03/23  11:00:00,,,,,,,,,,102448777.42628704,0.0,3339296.514321888 
 03/23  12:00:00,,,,,,,,,,108532471.65559305,0.0,3339296.514321888 
 03/23  13:00:00,,,,,,,,,,114564601.62909354,0.0,6069228.029058827 
 03/23  14:00:00,,,,,,,,,,120813030.53305838,0.0,3339296.514321888 
 03/23  15:00:00,,,,,,,,,,128362124.47367209,0.0,6069154.385159476 
 03/23  16:00:00,,,,,,,,,,133662960.25521901,0.0,3339296.514321888 
 03/23  17:00:00,,,,,,,,,,138862547.41522083,0.0,6068600.399303991 
 03/23  18:00:00,,,,,,,,,,146241142.98877272,0.0,3339296.514321888 
 03/23  19:00:00,,,,,,,,,,155401700.07961708,0.0,6272901.537689539 
 03/23  20:00:00,,,,,,,,,,257212736.3735417,0.0,6272810.696919711 
 03/23  21:00:00,,,,,,,,,,263575114.37652236,0.0,6272364.076186689 
 03/23  22:00:00,,,,,,,,,,268638569.2036199,0.0,3741723.165391054 
 03/23  23:00:00,,,,,,,,,,277410789.84445125,0.0,5839245.5589680355 
 03/23  24:00:00,1.5359375000000002,-0.42552110236448054,0.7591726273497309,63.033854166666664,175.08854166666666,170.9576425597759,0.6631475095643538,33651978.89554554,0.0,278530529.726163,0.0,6241574.066318991 
 03/24  01:00:00,,,,,,,,,,287644813.5168831,0.0,3339296.514321888 
 03/24  02:00:00,,,,,,,,,,295373544.841285,0.0,3339296.514321888 
 03/24  03:00:00,,,,,,,,,,301768117.3513487,0.0,5993785.819737101 
 03/24  04:00:00,,,,,,,,,,319410413.3167864,0.0,3339296.514321888 
 03/24  05:00:00,,,,,,,,,,332639045.57183063,0.0,3339296.514321888 
 03/24  06:00:00,,,,,,,,,,334159134.6789846,0.0,5993905.863059143 
 03/24  07:00:00,,,,,,,,,,338439268.48369586,0.0,3339296.514321888 
 03/24  08:00:00,,,,,,,,,,220838490.66306612,0.0,6241230.162492493 
 03/24  09:00:00,,,,,,,,,,188247166.8108972,0.0,6407686.358759107 
 03/24  10:00:00,,,,,,,,,,166881375.0681896,0.0,6407849.056796823 
 03/24  11:00:00,,,,,,,,,,151139547.80277044,0.0,3339296.514321888 
 03/24  12:00:00,,,,,,,,,,134482780.32018143,0.0,6069136.139746239 
 03/24  13:00:00,,,,,,,,,,112059273.57808493,0.0,3339296.514321888 
 03/24  14:00:00,,,,,,,,,,107313550.34793596,0.0,6069174.486921351 
 03/24  15:00:00,,,,,,,,,,110193746.99499816,0.0,3339296.514321888 
 03/24  16:00:00,,,,,,,,,,110441736.0835514,0.0,5219331.899297344 
 03/24  17:00:00,,,,,,,,,,119688385.92156911,0.0,4188629.2990945815 
 03/24  18:00:00,,,,,,,,,,134454924.0509014,0.0,6272280.638505521 
 03/24  19:00:00,,,,,,,,,,144796941.7260739,0.0,4665391.4019495435 
 03/24  20:00:00,,,,,,,,,,245178296.10653752,0.0,4945835.742373589 
 03/24  21:00:00,,,,,,,,,,250137809.23303965,0.0,6272491.004476842 
 03/24  22:00:00,,,,,,,,,,251829155.5142135,0.0,6241922.797047207 
 03/24  23:00:00,,,,,,,,,,253066799.29649225,0.0,4654680.463269524 
 03/24  24:00:00,0.6859375,-2.018229166666667,-0.3690794612804343,78.31770833333333,125.390625,171.02766239487948,1.0126469601589372,33426436.87542794,0.0,256237949.40335482,0.0,4925898.512765946 
 03/25  01:00:00,,,,,,,,,,259506553.89919817,0.0,5660287.683835038 
 03/25  02:00:00,,,,,,,,,,260565566.7477983,0.0,3672707.33628964 
 03/25  03:00:00,,,,,,,,,,260246357.2131592,0.0,3339296.514321888 
 03/25  04:00:00,,,,,,,,,,260248450.2942171,0.0,3339296.514321888 
 03/25  05:00:00,,,,,,,,,,261082474.06904307,0.0,5993998.620893845 
 03/25  06:00:00,,,,,,,,,,261414239.20172837,0.0,3339296.514321888 
 03/25  07:00:00,,,,,,,,,,264741403.4284711,0.0,6241831.828063526 
 03/25  08:00:00,,,,,,,,,,168269232.6717119,0.0,3339296.514321888 
 03/25  09:00:00,,,,,,,,,,155136787.16676682,0.0,6408132.302481877 
 03/25  10:00:00,,,,,,,,,,141711330.69923532,0.0,6407706.74543952 
 03/25  11:00:00,,,,,,,,,,130538925.82754052,0.0,6068856.466890581 
 03/25  12:00:00,,,,,,,,,,132375861.18266845,0.0,3339296.514321888 
 03/25  13:00:00,,,,,,,,,,133793711.11034015,0.0,6069198.103861509 
 03/25  14:00:00,,,,,,,,,,133794063.61809787,0.0,3339296.514321888 
 03/25  15:00:00,,,,,,,,,,131315142.49603528,0.0,3339296.514321888 
 03/25  16:00:00,,,,,,,,,,129491551.43089911,0.0,6068833.023662951 
 03/25  17:00:00,,,,,,,,,,132056992.95802149,0.0,3339296.514321888 
 03/25  18:00:00,,,,,,,,,,138336454.7585887,0.0,6272620.187721854 
 03/25  19:00:00,,,,,,,,,,156330533.84244508,0.0,6272914.12460918 
 03/25  20:00:00,,,,,,,,,,258793799.79489347,0.0,6272823.303780379 
 03/25  21:00:00,,,,,,,,,,263380271.45997503,0.0,3339296.514321888 
 03/25  22:00:00,,,,,,,,,,266557152.9185608,0.0,6241430.629923098 
 03/25  23:00:00,,,,,,,,,,265397803.96611187,0.0,6241885.126482824 
 03/25  24:00:00,1.3567708333333333,0.1359836929687541,0.8809671390171219,63.752604166666664,189.15625,171.0979865847945,1.361658571595055,35452314.50123628,0.0,268324932.25144672,0.0,5587682.787821688 
 03/26  01:00:00,,,,,,,,,,264245915.05295107,0.0,3936232.8779841294 
 03/26  02:00:00,,,,,,,,,,266361639.14408925,0.0,3339296.514321888 
 03/26  03:00:00,,,,,,,,,,277992450.68877625,0.0,3339296.514321888 
 03/26  04:00:00,,,,,,,,,,273542546.07972246,0.0,5993989.071388518 
 03/26  05:00:00,,,,,,,,,,265528502.6017619,0.0,3339296.514321888 
 03/26  06:00:00,,,,,,,,,,261817327.28548992,0.0,3339296.514321888 
 03/26  07:00:00,,,,,,,,,,259296946.91902652,0.0,6241279.164913747 
 03/26  08:00:00,,,,,,,,,,155366079.49395192,0.0,6241968.564196811 
 03/26  09:00:00,,,,,,,,,,140719032.1969158,0.0,6178368.905236142 
 03/26  10:00:00,,,,,,,,,,125730876.76990707,0.0,5504664.4746099245 
 03/26  11:00:00,,,,,,,,,,117774862.2429514,0.0,4345092.326127069 
 03/26  12:00:00,,,,,,,,,,121365821.96634643,0.0,3339296.514321888 
 03/26  13:00:00,,,,,,,,,,125566040.98902422,0.0,6068869.533320643 
 03/26  14:00:00,,,,,,,,,,115110375.70444056,0.0,3339296.514321888 
 03/26  15:00:00,,,,,,,,,,111930134.01558813,0.0,6069196.763301227 
 03/26  16:00:00,,,,,,,,,,124473120.71422794,0.0,3339296.514321888 
 03/26  17:00:00,,,,,,,,,,135530314.1781195,0.0,5591735.9235838335 
 03/26  18:00:00,,,,,,,,,,144353673.87964585,0.0,3852699.8849259964 
 03/26  19:00:00,,,,,,,,,,152810533.84691703,0.0,6272200.404721271 
 03/26  20:00:00,,,,,,,,,,248017371.86902636,0.0,6272316.007870447 
 03/26  21:00:00,,,,,,,,,,248269897.7844708,0.0,6272782.611196935 
 03/26  22:00:00,,,,,,,,,,245810499.99450484,0.0,3339296.514321888 
 03/26  23:00:00,,,,,,,,,,240424339.32202402,0.0,6241495.367098084 
 03/26  24:00:00,1.8010416666666667,-0.4645833622715611,0.8870962347528607,65.49479166666667,178.58854166666666,171.16853529832167,1.7100911008314317,34106330.09891582,0.0,238559630.4089503,0.0,6241774.6808041185 
 03/27  01:00:00,,,,,,,,,,238192212.73007208,0.0,3339296.514321888 
 03/27  02:00:00,,,,,,,,,,241414914.19745767,0.0,3339296.514321888 
 03/27  03:00:00,,,,,,,,,,243242419.89780575,0.0,5993850.233680122 
 03/27  04:00:00,,,,,,,,,,240649199.24625593,0.0,3339296.514321888 
 03/27  05:00:00,,,,,,,,,,243719303.78511927,0.0,3339296.514321888 
 03/27  06:00:00,,,,,,,,,,247589617.9871334,0.0,3339296.514321888 
 03/27  07:00:00,,,,,,,,,,248158828.3336901,0.0,6241928.759792656 
 03/27  08:00:00,,,,,,,,,,147021209.511936,0.0,6241276.167224424 
 03/27  09:00:00,,,,,,,,,,132501698.82871337,0.0,6408222.9497137675 
 03/27  10:00:00,,,,,,,,,,106610807.9976328,0.0,6407732.725486667 
 03/27  11:00:00,,,,,,,,,,91427821.08829087,0.0,3339296.514321888 
 03/27  12:00:00,,,,,,,,,,80734951.50975895,0.0,6068656.870353797 
 03/27  13:00:00,,,,,,,,,,76755455.3822878,0.0,3339296.514321888 
 03/27  14:00:00,,,,,,,,,,82045507.77425653,0.0,3339296.514321888 
 03/27  15:00:00,,,,,,,,,,74838215.79949352,0.0,6069225.732610796 
 03/27  16:00:00,,,,,,,,,,63498645.155763805,0.0,3339296.514321888 
 03/27  17:00:00,,,,,,,,,,69272914.55953558,0.0,6069152.093234044 
 03/27  18:00:00,,,,,,,,,,84954366.28863148,0.0,5695366.37347378 
 03/27  19:00:00,,,,,,,,,,99292680.65390988,0.0,3916330.7961851917 
 03/27  20:00:00,,,,,,,,,,204621538.9934889,0.0,6272087.032840082 
 03/27  21:00:00,,,,,,,,,,222947647.59678397,0.0,6272342.055877648 
 03/27  22:00:00,,,,,,,,,,236264515.25013843,0.0,6241922.198307689 
 03/27  23:00:00,,,,,,,,,,235838269.12052497,0.0,3339296.514321888 
 03/27  24:00:00,3.4255208333333322,-1.2322916666666663,1.7346135485956158,58.494791666666664,203.765625,171.2392290575411,2.0578537639236925,33650303.387886986,0.0,239858015.6474476,0.0,6241283.198266858 
 03/28  01:00:00,,,,,,,,,,244171650.52403554,0.0,3339296.514321888 
 03/28  02:00:00,,,,,,,,,,250413327.1833112,0.0,5993945.60120178 
 03/28  03:00:00,,,,,,,,,,254798312.17776582,0.0,3339296.514321888 
 03/28  04:00:00,,,,,,,,,,255270476.6871103,0.0,3339296.514321888 
 03/28  05:00:00,,,,,,,,,,252794693.30825227,0.0,3339296.514321888 
 03/28  06:00:00,,,,,,,,,,251320776.70795545,0.0,5993700.14438118 
 03/28  07:00:00,,,,,,,,,,250034978.12915033,0.0,3518864.7673933995 
 03/28  08:00:00,,,,,,,,,,147203730.43658304,0.0,6061367.948605005 
 03/28  09:00:00,,,,,,,,,,127509439.18365493,0.0,6408472.601261577 
 03/28  10:00:00,,,,,,,,,,111548334.48437539,0.0,6408325.893451627 
 03/28  11:00:00,,,,,,,,,,91638170.89018533,0.0,4679998.089755129 
 03/28  12:00:00,,,,,,,,,,70441190.90047884,0.0,4727895.2095322255 
 03/28  13:00:00,,,,,,,,,,56818920.95417507,0.0,3339296.514321888 
 03/28  14:00:00,,,,,,,,,,46520276.42028931,0.0,6069144.917871328 
 03/28  15:00:00,,,,,,,,,,35152560.00293203,0.0,3339296.514321888 
 03/28  16:00:00,,,,,,,,,,29721291.10284613,0.0,6069173.8543434795 
 03/28  17:00:00,,,,,,,,,,30430228.564456705,0.0,3339296.514321888 
 03/28  18:00:00,,,,,,,,,,37916619.17378888,0.0,6272441.714659123 
 03/28  19:00:00,,,,,,,,,,55341695.308256075,0.0,6272947.77967526 
 03/28  20:00:00,,,,,,,,,,155492116.00785017,0.0,3339296.514321888 
 03/28  21:00:00,,,,,,,,,,166459069.87250566,0.0,6272856.97243648 
 03/28  22:00:00,,,,,,,,,,178234566.3292745,0.0,6241423.171143554 
 03/28  23:00:00,,,,,,,,,,176988708.79557663,0.0,6241899.967637192 
 03/28  24:00:00,4.580208333333333,1.5385416666666665,3.3403606805535695,79.98958333333333,25.729166666666668,171.30998878471362,2.40485622952903,33428709.82666803,0.0,179171727.2043506,0.0,3339296.514321888 
 03/29  01:00:00,,,,,,,,,,185098442.1407434,0.0,5993942.792369001 
 03/29  02:00:00,,,,,,,,,,192660600.0416833,0.0,3339296.514321888 
 03/29  03:00:00,,,,,,,,,,193583965.39781517,0.0,3339296.514321888 
 03/29  04:00:00,,,,,,,,,,194364255.9716419,0.0,3658533.395421354 
 03/29  05:00:00,,,,,,,,,,187659527.20694318,0.0,5674513.626207139 
 03/29  06:00:00,,,,,,,,,,178189876.71349782,0.0,3339296.514321888 
 03/29  07:00:00,,,,,,,,,,173894714.38596192,0.0,6241901.329487037 
 03/29  08:00:00,,,,,,,,,,92301557.96355122,0.0,4464089.581098093 
 03/29  09:00:00,,,,,,,,,,87219928.00897776,0.0,5503555.07853849 
 03/29  10:00:00,,,,,,,,,,66017477.581630915,0.0,6124165.01192479 
 03/29  11:00:00,,,,,,,,,,47783366.52082912,0.0,6069111.400582895 
 03/29  12:00:00,,,,,,,,,,31155212.36440906,0.0,3339296.514321888 
 03/29  13:00:00,,,,,,,,,,10714141.786191825,0.0,6068595.424342239 
 03/29  14:00:00,,,,,,,,,,2541764.5132492105,0.0,3339296.514321888 
 03/29  15:00:00,,,,,,,,,,4878061.401956069,0.0,6069056.057901859 
 03/29  16:00:00,,,,,,,,,,15281868.505168986,0.0,3339296.514321888 
 03/29  17:00:00,,,,,,,,,,26119237.960661646,0.0,3339296.514321888 
 03/29  18:00:00,,,,,,,,,,37113588.37501224,0.0,6272893.183154857 
 03/29  19:00:00,,,,,,,,,,45167605.59521471,0.0,6272802.370396448 
 03/29  20:00:00,,,,,,,,,,138902264.76001948,0.0,6272334.006033765 
 03/29  21:00:00,,,,,,,,,,137302091.16216913,0.0,4808389.013762419 
 03/29  22:00:00,,,,,,,,,,132440894.6332674,0.0,4787478.020229982 
 03/29  23:00:00,,,,,,,,,,128153280.08241197,0.0,6241938.544192299 
 03/29  24:00:00,6.946354166666667,4.6104163100794135,5.837048557536117,68.49479166666667,24.333333333333332,171.38073584824315,2.751008612054388,35996874.899739414,0.0,128450004.57503733,0.0,6241269.574206542 
 03/30  01:00:00,,,,,,,,,,127802616.69431812,0.0,3339296.514321888 
 03/30  02:00:00,,,,,,,,,,128036881.31830905,0.0,3339296.514321888 
 03/30  03:00:00,,,,,,,,,,133083070.33631068,0.0,3339296.514321888 
 03/30  04:00:00,,,,,,,,,,141308289.12259653,0.0,5993994.519372739 
 03/30  05:00:00,,,,,,,,,,155965892.85454103,0.0,3339296.514321888 
 03/30  06:00:00,,,,,,,,,,156039267.96095097,0.0,3339296.514321888 
 03/30  07:00:00,,,,,,,,,,152729582.60658324,0.0,6241630.767220316 
 03/30  08:00:00,,,,,,,,,,56204761.329518005,0.0,6241611.870070105 
 03/30  09:00:00,,,,,,,,,,41996021.47668369,0.0,6407911.9009431265 
 03/30  10:00:00,,,,,,,,,,28322676.69644629,0.0,6408487.891804863 
 03/30  11:00:00,,,,,,,,,,25233419.108715788,0.0,3339296.514321888 
 03/30  12:00:00,,,,,,,,,,5488902.157241577,0.0,3339296.514321888 
 03/30  13:00:00,,,,,,,,,,358226.34214644216,0.0,6069228.011265678 
 03/30  14:00:00,,,,,,,,,,0.0,0.0,3339296.514321888 
 03/30  15:00:00,,,,,,,,,,0.0,0.0,6069154.334960908 
 03/30  16:00:00,,,,,,,,,,0.0,0.0,3339296.514321888 
 03/30  17:00:00,,,,,,,,,,0.0,0.0,6068600.340172228 
 03/30  18:00:00,,,,,,,,,,0.0,0.0,3339296.514321888 
 03/30  19:00:00,,,,,,,,,,358696.7799678638,0.0,6272901.483619459 
 03/30  20:00:00,,,,,,,,,,98570874.72561702,0.0,6272810.646281904 
 03/30  21:00:00,,,,,,,,,,104854609.82980895,0.0,6272363.914741027 
 03/30  22:00:00,,,,,,,,,,102865903.09105016,0.0,3741341.1486738357 
 03/30  23:00:00,,,,,,,,,,102175899.42472714,0.0,5839627.837023066 
 03/30  24:00:00,9.047395833333333,3.8895833333333325,6.535330717220954,48.8125,224.97916666666666,171.4513921078885,3.096221464528854,33651978.559693575,0.0,103127719.74640489,0.0,6241573.82290558 
 03/31  01:00:00,,,,,,,,,,101557615.72396946,0.0,3339296.514321888 
 03/31  02:00:00,,,,,,,,,,101542723.29115555,0.0,3339296.514321888 
 03/31  03:00:00,,,,,,,,,,106346387.80946718,0.0,5993785.029362846 
 03/31  04:00:00,,,,,,,,,,110971177.12297301,0.0,3339296.514321888 
 03/31  05:00:00,,,,,,,,,,105461376.64702484,0.0,3339296.514321888 
 03/31  06:00:00,,,,,,,,,,98013446.7738139,0.0,5993906.754869046 
 03/31  07:00:00,,,,,,,,,,97367339.81282645,0.0,3339296.514321888 
 03/31  08:00:00,,,,,,,,,,4692399.269362244,0.0,6241217.237616507 
 03/31  09:00:00,,,,,,,,,,265928.25222288363,0.0,6407686.326230306 
 03/31  10:00:00,,,,,,,,,,8195308.630683176,0.0,6407949.302658429 
 03/31  11:00:00,,,,,,,,,,16084143.401306372,0.0,3339296.514321888 
 03/31  12:00:00,,,,,,,,,,7604709.639005095,0.0,6069137.87111035 
 03/31  13:00:00,,,,,,,,,,3438830.5542432703,0.0,3339296.514321888 
 03/31  14:00:00,,,,,,,,,,1905191.9525015191,0.0,6069174.353305472 
 03/31  15:00:00,,,,,,,,,,790192.6188879311,0.0,3339296.514321888 
 03/31  16:00:00,,,,,,,,,,3555209.9597367737,0.0,5217271.496870532 
 03/31  17:00:00,,,,,,,,,,5175215.755167292,0.0,4190689.0826002476 
 03/31  18:00:00,,,,,,,,,,2624686.640322042,0.0,6272280.283565956 
 03/31  19:00:00,,,,,,,,,,15581450.596628377,0.0,4664321.957627125 
 03/31  20:00:00,,,,,,,,,,114844689.81222412,0.0,4946902.417856297 
 03/31  21:00:00,,,,,,,,,,114751433.71593703,0.0,6272491.655310463 
 03/31  22:00:00,,,,,,,,,,137079573.81438023,0.0,6241922.6752080005 
 03/31  23:00:00,,,,,,,,,,172045834.34166318,0.0,4653543.479543868 
 03/31  24:00:00,9.057291666666666,4.879166666666667,7.014343238859614,71.73697916666667,21.838541666666668,171.52187995941514,3.44040577128194,33426514.1989705,0.0,208269557.04796714,0.0,4927035.637604196 
 04/01  01:00:00,,,,,,,,,,245144278.8611322,0.0,5656988.630938006 
 04/01  02:00:00,,,,,,,,,,259043487.33823627,0.0,3676004.3311979235 
 04/01  03:00:00,,,,,,,,,,258983997.79600734,0.0,3339296.514321888 
 04/01  04:00:00,,,,,,,,,,256628948.17251176,0.0,3339296.514321888 
 04/01  05:00:00,,,,,,,,,,252893195.7333876,0.0,5993998.506835479 
 04/01  06:00:00,,,,,,,,,,246831747.84615135,0.0,3339296.514321888 
 04/01  07:00:00,,,,,,,,,,249732601.68240893,0.0,6241832.801864006 
 04/01  08:00:00,,,,,,,,,,154033796.48017085,0.0,3339296.514321888 
 04/01  09:00:00,,,,,,,,,,146622756.8562995,0.0,6408131.6899711285 
 04/01  10:00:00,,,,,,,,,,144757950.79581934,0.0,6407706.593646714 
 04/01  11:00:00,,,,,,,,,,137029318.17201704,0.0,6068857.657860013 
 04/01  12:00:00,,,,,,,,,,134924515.21686396,0.0,3339296.514321888 
 04/01  13:00:00,,,,,,,,,,131015887.49913034,0.0,6069197.974678846 
 04/01  14:00:00,,,,,,,,,,124495608.76645835,0.0,3339296.514321888 
 04/01  15:00:00,,,,,,,,,,106798597.6937062,0.0,3339296.514321888 
 04/01  16:00:00,,,,,,,,,,100939430.86334804,0.0,6068831.885396654 
 04/01  17:00:00,,,,,,,,,,105573552.13564724,0.0,3339296.514321888 
 04/01  18:00:00,,,,,,,,,,109611157.52364865,0.0,6272620.96878962 
 04/01  19:00:00,,,,,,,,,,115926839.13260862,0.0,6272913.999115188 
 04/01  20:00:00,,,,,,,,,,214981506.0222125,0.0,6272823.16662308 
 04/01  21:00:00,,,,,,,,,,217189402.30035505,0.0,3339296.514321888 
 04/01  22:00:00,,,,,,,,,,217245580.19804543,0.0,6241430.123407343 
 04/01  23:00:00,,,,,,,,,,223196338.87362975,0.0,6241886.138917325 
 04/01  24:00:00,2.521875,-1.4442708333333334,0.8932341207715101,90.2734375,61.09375,171.59212237887596,3.7834729405095007,35451286.41732723,0.0,233106133.19218752,0.0,5586541.4870616915 
 04/02  01:00:00,,,,,,,,,,231485004.04751635,0.0,3937275.0122773936 
 04/02  02:00:00,,,,,,,,,,230580106.2449093,0.0,3339296.514321888 
 04/02  03:00:00,,,,,,,,,,235353624.77150872,0.0,3339296.514321888 
 04/02  04:00:00,,,,,,,,,,242059555.46359098,0.0,5993989.032198481 
 04/02  05:00:00,,,,,,,,,,249523282.494201,0.0,3339296.514321888 
 04/02  06:00:00,,,,,,,,,,253554010.1113911,0.0,3339296.514321888 
 04/02  07:00:00,,,,,,,,,,251820912.572438,0.0,6241279.113226896 
 04/02  08:00:00,,,,,,,,,,145523413.69395277,0.0,6241968.515297957 
 04/02  09:00:00,,,,,,,,,,120239356.32695867,0.0,6178108.342454296 
 04/02  10:00:00,,,,,,,,,,101144869.88982336,0.0,5504664.128046102 
 04/02  11:00:00,,,,,,,,,,93322685.67953739,0.0,4345324.031837279 
 04/02  12:00:00,,,,,,,,,,92760138.34804282,0.0,3339296.514321888 
 04/02  13:00:00,,,,,,,,,,91539986.34300235,0.0,6068869.662596302 
 04/02  14:00:00,,,,,,,,,,92631087.42647126,0.0,3339296.514321888 
 04/02  15:00:00,,,,,,,,,,94496251.32349984,0.0,6069196.756022144 
 04/02  16:00:00,,,,,,,,,,89128313.33654468,0.0,3339296.514321888 
 04/02  17:00:00,,,,,,,,,,88140859.67402306,0.0,5591504.114045965 
 04/02  18:00:00,,,,,,,,,,102390003.31189358,0.0,3852949.1277787876 
 04/02  19:00:00,,,,,,,,,,113869262.90134987,0.0,6272200.382059868 
 04/02  20:00:00,,,,,,,,,,220170933.07867157,0.0,6272316.110004654 
 04/02  21:00:00,,,,,,,,,,234039078.7613122,0.0,6272782.826552362 
 04/02  22:00:00,,,,,,,,,,251449361.0745737,0.0,3339296.514321888 
 04/02  23:00:00,,,,,,,,,,269685465.26282895,0.0,6241495.216711603 
 04/02  24:00:00,3.0885416666666665,-3.8333333333333335,0.3416036930660766,72.44270833333333,200.375,171.66204296670693,4.125334796809317,34107257.73405919,0.0,288589450.3092386,0.0,6241774.895883655 
 04/03  01:00:00,,,,,,,,,,308561249.88967294,0.0,3339296.514321888 
 04/03  02:00:00,,,,,,,,,,311140771.91290665,0.0,3339296.514321888 
 04/03  03:00:00,,,,,,,,,,315291031.5335486,0.0,5993850.816883991 
 04/03  04:00:00,,,,,,,,,,324358293.6074974,0.0,3339296.514321888 
 04/03  05:00:00,,,,,,,,,,334478230.25452715,0.0,3339296.514321888 
 04/03  06:00:00,,,,,,,,,,347409436.720207,0.0,3339296.514321888 
 04/03  07:00:00,,,,,,,,,,305024233.743116,0.0,6241928.721895788 
 04/03  08:00:00,,,,,,,,,,155475679.82513663,0.0,6241276.185012218 
 04/03  09:00:00,,,,,,,,,,116483223.20806444,0.0,6408222.793010438 
 04/03  10:00:00,,,,,,,,,,92421555.09050228,0.0,6407732.680789474 
 04/03  11:00:00,,,,,,,,,,84164800.27894473,0.0,3339296.514321888 
 04/03  12:00:00,,,,,,,,,,77098656.67311741,0.0,6068657.005353987 
 04/03  13:00:00,,,,,,,,,,55777467.72758674,0.0,3339296.514321888 
 04/03  14:00:00,,,,,,,,,,55259252.08356158,0.0,3339296.514321888 
 04/03  15:00:00,,,,,,,,,,79622501.39161345,0.0,6069225.697092619 
 04/03  16:00:00,,,,,,,,,,71425985.81193043,0.0,3339296.514321888 
