Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily),SCENARIO_2_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/06  04:00:00,,,,,,,,,,354265038.16679174,0.0,3339296.514321888 
 01/06  05:00:00,,,,,,,,,,357951441.3856633,0.0,3339296.514321888 
 01/06  06:00:00,,,,,,,,,,360429188.3900166,0.0,5993539.3483471675 
 01/06  07:00:00,,,,,,,,,,365051996.1436189,0.0,3339296.514321888 
 01/06  08:00:00,,,,,,,,,,270125062.0273586,0.0,6241155.180678068 
 01/06  09:00:00,,,,,,,,,,267859337.7670621,0.0,6407708.575920282 
 01/06  10:00:00,,,,,,,,,,266108167.47856456,0.0,6407786.998475766 
 01/06  11:00:00,,,,,,,,,,263595326.39350346,0.0,3339296.514321888 
 01/06  12:00:00,,,,,,,,,,260197779.28483108,0.0,6068871.335680103 
 01/06  13:00:00,,,,,,,,,,256756256.60317704,0.0,3339296.514321888 
 01/06  14:00:00,,,,,,,,,,253323472.68310076,0.0,6069196.587597696 
 01/06  15:00:00,,,,,,,,,,249852419.81843668,0.0,3339296.514321888 
 01/06  16:00:00,,,,,,,,,,247603271.2990127,0.0,5588703.745768221 
 01/06  17:00:00,,,,,,,,,,244854286.76517448,0.0,3819412.031406106 
 01/06  18:00:00,,,,,,,,,,241321804.41090345,0.0,6272355.127645478 
 01/06  19:00:00,,,,,,,,,,237761653.93948227,0.0,4857113.682195449 
 01/06  20:00:00,,,,,,,,,,330097461.2702307,0.0,4754174.16226439 
 01/06  21:00:00,,,,,,,,,,329153995.55228025,0.0,6272385.293747503 
 01/06  22:00:00,,,,,,,,,,328478062.6293797,0.0,6241946.008900315 
 01/06  23:00:00,,,,,,,,,,326618626.34915626,0.0,4860341.834112333 
 01/06  24:00:00,-3.4229166666666675,-4.572395833333333,-3.8650041755420497,16.927083333333332,4.8203125,171.39382734271808,-19.90459616452433,33426112.340753067,0.0,326367598.9178108,0.0,4720222.456663543 
 01/07  01:00:00,,,,,,,,,,326211743.9420217,0.0,5993952.103020938 
 01/07  02:00:00,,,,,,,,,,343385777.0016045,0.0,3339296.514321888 
 01/07  03:00:00,,,,,,,,,,372479232.17076176,0.0,3339296.514321888 
 01/07  04:00:00,,,,,,,,,,402740696.14647895,0.0,3339296.514321888 
 01/07  05:00:00,,,,,,,,,,432156948.4457475,0.0,5993598.4558011405 
 01/07  06:00:00,,,,,,,,,,461169767.52086365,0.0,3339296.514321888 
 01/07  07:00:00,,,,,,,,,,494085384.84766227,0.0,6241670.419569951 
 01/07  08:00:00,,,,,,,,,,396303668.10972345,0.0,3339296.514321888 
 01/07  09:00:00,,,,,,,,,,377112371.6671877,0.0,6408251.757508308 
 01/07  10:00:00,,,,,,,,,,357483420.6167476,0.0,6407742.141465569 
 01/07  11:00:00,,,,,,,,,,337717713.02129894,0.0,6068685.080096548 
 01/07  12:00:00,,,,,,,,,,317926016.54892576,0.0,3339296.514321888 
 01/07  13:00:00,,,,,,,,,,298250533.39738774,0.0,6069220.330658147 
 01/07  14:00:00,,,,,,,,,,287338461.62743914,0.0,3339296.514321888 
 01/07  15:00:00,,,,,,,,,,282962442.36191386,0.0,3339296.514321888 
 01/07  16:00:00,,,,,,,,,,278255143.39225435,0.0,6069083.232201276 
 01/07  17:00:00,,,,,,,,,,274040063.0628206,0.0,3339296.514321888 
 01/07  18:00:00,,,,,,,,,,269140723.98511946,0.0,6272490.568553202 
 01/07  19:00:00,,,,,,,,,,264672317.73019052,0.0,6272937.609344151 
 01/07  20:00:00,,,,,,,,,,354422876.88512075,0.0,6272846.795539616 
 01/07  21:00:00,,,,,,,,,,348538114.2511107,0.0,3339296.514321888 
 01/07  22:00:00,,,,,,,,,,342380542.2857876,0.0,6241537.883196693 
 01/07  23:00:00,,,,,,,,,,335519860.11152595,0.0,6241715.581491204 
 01/07  24:00:00,-5.505729166666664,-6.389583333333333,-5.813797856992925,18.200520833333332,80.8359375,171.29259514926343,-19.800915512093123,35638106.67964243,0.0,329846820.6981489,0.0,5794315.55277349 
 01/08  01:00:00,,,,,,,,,,324776127.0013095,0.0,3747594.995592766 
 01/08  02:00:00,,,,,,,,,,322904750.97070664,0.0,3339296.514321888 
