param,mu_star,mu_star_conf,sigma
ground_floor_opq__Density,100.4899826530982,0.23334784770348382,0.3985874959901267
ground_floor_opq__Specific_Heat,200.04105123625595,0.3452147937081831,0.6326020003405929
ground_floor_opq__Thermal_Absorptance,0.5406094384561584,0.19038897483594863,0.5730550685035971
ground_floor_opq__Solar_Absorptance,0.5284691614859185,0.21090020193769382,0.5738375920169905
ground_floor_opq__Visible_Absorptance,0.5937333888898138,0.21676093864787116,0.47061389880034027
ground_floor_win__Optical_Data_Type,0.66382840687329,0.21990087114317408,0.6989625806154857
ground_floor_win__Thickness,0.409595202683704,0.1588748344925629,0.49632035873676933
ground_floor_win__Solar_Transmittance,0.6648123152019252,0.18685623382877645,0.7615902458274556
ground_floor_win__Front_Solar_Reflectance,0.32174047463122407,0.15173698984111175,0.4199994986399953
ground_floor_win__Back_Solar_Reflectance,0.4547343991940579,0.22036036767496253,0.6068011260147551
ground_floor_win__Visible_Transmittance,0.388644283787653,0.23977502098569223,0.516712069475012
ground_floor_win__Front_Visible_Reflectance,0.5366781191249175,0.26991371296926275,0.7239939591060713
ground_floor_win__Back_Visible_Reflectance,0.48645502101899185,0.32476549166431173,0.7314473041587016
ground_floor_win__IR_Transmittance,0.3580676670320827,0.16660240277048555,0.45647044289421274
ground_floor_win__Front_IR_Emissivity,0.5619378048169892,0.24879096784273735,0.6497446152801191
ground_floor_win__Back_IR_Emissivity,0.8127358657377044,0.29081635465393096,0.6222698505742276
ground_floor_win__Conductivity,0.5911749317863724,0.2277892143816135,0.7150831739206474
ground_floor_win__Dirt_Correction_Factor,0.614137515897528,0.27057097760001225,0.5996872473528833
ground_floor_win__Solar_Diffusing,0.799362510089486,0.21048619420188994,0.9264510030833765
exterior_wall_R_value__exterior_wall_R_value,1.0442062544385409,0.24002173217257577,0.5202167006282815
exterior_wall_U_value__exterior_wall_U_value,0.4547261393698136,0.17598877891232168,0.5615813456238113
exterior_wall_area_m2__exterior_wall_area_m2,41.12437078378789,0.34789152842278187,0.5869785626323455
exterior_wall_opq__Roughness,0.5882875856721512,0.23714774805071626,0.47853509833567787
exterior_wall_opq__Thickness,0.5558135369621595,0.23766708338347287,0.6451457264612134
exterior_wall_opq__Conductivity,0.5411048526373634,0.2967246071773733,0.5276620282272161
exterior_wall_opq__Density,199.57139221109065,0.44153977870323874,0.8042834841090268
exterior_wall_opq__Specific_Heat,99.79733593827841,0.28978027600283524,0.5030507890843272
exterior_wall_opq__Thermal_Absorptance,0.4232713879653602,0.1507252219287559,0.5382729709339151
exterior_wall_opq__Solar_Absorptance,0.32959835213587213,0.1574329709932363,0.4579012884190829
exterior_wall_opq__Visible_Absorptance,0.36422647999279434,0.18925723373803804,0.41923458457394885
exterior_wall_win__Optical_Data_Type,0.5543980090442346,0.2530787002560891,0.7185566544255519
exterior_wall_win__Thickness,0.3953962564148242,0.1711944357410315,0.5103792189746584
exterior_wall_win__Solar_Transmittance,0.6584805823247735,0.20973374345903104,0.6400975112015386
exterior_wall_win__Front_Solar_Reflectance,0.48700975025858495,0.2609582517132332,0.6677087072376426
exterior_wall_win__Back_Solar_Reflectance,0.512579860414553,0.2107588242526469,0.6250217534049007
exterior_wall_win__Visible_Transmittance,0.47966962951250025,0.17167208979836562,0.5703150315473645
exterior_wall_win__Front_Visible_Reflectance,0.37178292312455596,0.18697806833770955,0.4908560694288305
exterior_wall_win__Back_Visible_Reflectance,0.8913842025576741,0.1926360198071937,0.8380908497713341
exterior_wall_win__IR_Transmittance,0.5754903783308691,0.2337032021434708,0.5987416215585716
exterior_wall_win__Front_IR_Emissivity,0.7083480959641747,0.3337930852226916,0.6938517829075669
exterior_wall_win__Back_IR_Emissivity,0.7803003975135653,0.2458826937651665,0.6455436602296629
exterior_wall_win__Conductivity,0.7493916138533677,0.2675763882980342,0.9017200099900289
exterior_wall_win__Dirt_Correction_Factor,0.6234466468664323,0.20322980548117492,0.6859348886957282
exterior_wall_win__Solar_Diffusing,0.4666914655288565,0.22823558395236815,0.6476259496285194
flat_roof_R_value__flat_roof_R_value,1.086981996972827,0.38649006664084395,0.7006662187049238
flat_roof_U_value__flat_roof_U_value,0.567377215869783,0.22052376390554426,0.6823486692394946
flat_roof_area_m2__flat_roof_area_m2,33.703452455931256,0.4066845799923968,0.6924993871546508
flat_roof_opq__Roughness,0.6206073844979982,0.2752026257362925,0.7573032055603215
flat_roof_opq__Thickness,0.48690640713321043,0.20463326392262232,0.4933802121981616
flat_roof_opq__Conductivity,0.6786582808163075,0.2309088552984348,0.7142249927827181
flat_roof_opq__Density,199.92811581222995,0.3585390889198339,0.6279399480539968
flat_roof_opq__Specific_Heat,200.07209692855068,0.32031603156538163,0.5112703915283785
flat_roof_opq__Thermal_Absorptance,0.4399872122150555,0.179538076150236,0.48925823234510857
flat_roof_opq__Solar_Absorptance,0.27042224192409775,0.12527513845404714,0.36582496172994394
flat_roof_opq__Visible_Absorptance,0.6414542128091852,0.25150812062472094,0.7140377520317217
flat_roof_win__Optical_Data_Type,0.4334878591962479,0.2732154098967908,0.6345184263670149
flat_roof_win__Thickness,0.4661803306811635,0.13470228130012682,0.5165333551766901
flat_roof_win__Solar_Transmittance,0.44381273605504246,0.30144831650959325,0.6803630048232951
flat_roof_win__Front_Solar_Reflectance,0.44728566024059546,0.16555098051412598,0.5444165883951727
flat_roof_win__Back_Solar_Reflectance,0.6705363302800833,0.1858661560427906,0.7531383921008173
flat_roof_win__Visible_Transmittance,0.490534529130673,0.18278191205661218,0.5819882606864821
flat_roof_win__Front_Visible_Reflectance,0.54744834369194,0.25374630934998643,0.6420083231499248
flat_roof_win__Back_Visible_Reflectance,0.40854832288459875,0.16431571184092425,0.4499417475708457
flat_roof_win__IR_Transmittance,0.37662704721115003,0.1675931630623179,0.4987258204896199
flat_roof_win__Front_IR_Emissivity,0.6433180150619592,0.21396231403287094,0.7615347960753693
flat_roof_win__Back_IR_Emissivity,0.32436378790444,0.15063719923265134,0.4383016168354493
flat_roof_win__Conductivity,0.4470746251659875,0.1534838474182065,0.5229464312172553
flat_roof_win__Dirt_Correction_Factor,0.6809674175114196,0.21384441424195413,0.5795876258287846
flat_roof_win__Solar_Diffusing,0.4346554810417729,0.18535121317981645,0.5186428123087795
inter_floor_R_value__inter_floor_R_value,0.9053884824825218,0.3868393766193056,0.6970536056513921
