scenario_params_dhw:default_heater_capacity_w_MAX,scenario_params_dhw:default_heater_capacity_w_MIN,scenario_params_dhw:default_heater_capacity_w_VAL,scenario_params_dhw:dhw_heater_capacity_w_MAX,scenario_params_dhw:dhw_heater_capacity_w_MIN,scenario_params_dhw:dhw_heater_capacity_w_VAL,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_MAX,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_MIN,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_VAL,error
9037.984523402707,2649.7757126157962,4096.681486024735,8973.981877572138,3101.690990451532,3557.054568439991,8671.893958920584,945.4088709916138,3983.8179461296813,873017154.976496
6399.272771403619,797.8312266663465,4279.775987438971,7404.107331575398,2091.930439916733,4872.312226295822,5394.58767971094,3166.2585402533928,3917.2434571191425,873017154.976496
7329.165998105294,3985.5681940258287,4660.2124238107435,10041.030459176302,2501.9688277411697,4369.518257455786,8701.187336534009,3338.046749710891,4929.156202073427,873017154.976496
9426.601266975686,5.124629978759732,4479.4892503971605,8761.460949063607,249.03222839839216,4576.213404541188,8845.143221996037,204.29818970921897,3592.9904723246746,873017154.976496
6804.144606136366,405.03124389334255,4843.769074346937,7825.4035531867885,2541.478023835349,4556.332032967536,6546.710466083634,86.94980311852308,3959.3299806567934,873017154.976496
9746.274082257925,2801.6484863477326,4660.2124238107435,7887.42482241084,505.57684078372097,4369.518257455786,5603.1946140829505,2307.986254137117,3450.6603192451953,873017154.976496
5165.355222539926,550.7804313141071,4875.180556125417,8264.15605232154,1244.5022527612716,3987.3445565767593,8480.16856231984,1605.5572542730497,4124.753502575873,873017154.976496
7870.5000216573135,692.8026259285791,4932.725562725924,9923.01695251329,846.8523961474242,4827.385969082675,10132.813952675424,2884.6939159172425,3424.940272000542,873017154.976496
5127.276355601868,2630.4587386994,4660.2124238107435,7689.420676253178,2501.9688277411697,4369.518257455786,8701.187336534009,2896.498747557712,4929.156202073427,873017154.976496
6917.752381538468,1094.1114488059984,4634.498969152671,10041.030459176302,2783.412886430896,4669.998959971417,6082.926541451368,2886.1076570569494,4521.788598100271,873017154.976496
8670.383096557605,1051.9756624549275,4198.646661706282,6887.410590574815,1238.554363252322,4543.752008112257,5645.651729914437,2428.4009900762944,4217.0528126898225,873017154.976496
8422.320666907364,1162.2687089507178,4379.750779115888,9732.294473359445,3184.1893632575648,4554.5974246956175,6879.749173089768,883.8770160938086,4073.3446381342665,873017154.976496
5454.477734557661,3395.382299104003,4412.338547675549,10041.030459176302,1661.0663591152086,4378.96808554032,9371.372240104603,1680.4099715387833,4967.638051400491,873017154.976496
5165.355222539926,2314.2175428167066,4875.180556125417,9807.857655883889,1400.3164897521704,4033.006751392451,9782.052039126018,2063.8045905392505,4075.8130356724387,873017154.976496
9340.17686827205,3256.1048702178746,4660.2124238107435,7689.420676253178,968.3502885647714,4645.844361097357,6852.942249470389,1605.5572542730497,4124.753502575873,873017154.976496
7331.656691047896,3384.056784362082,4743.669966245749,9945.535853792153,3137.4341987271437,4574.043938227488,7820.10321692158,137.28554321861213,3424.940272000542,873017154.976496
8584.341419179565,2744.1741571949296,4634.498969152671,9231.698720717337,851.088459849906,3502.305335836942,9556.248278379753,2886.1076570569494,4521.788598100271,873017154.976496
8386.445227525313,20.119356296020463,4479.4892503971605,5565.528209004493,249.03222839839216,3751.54223973677,8845.143221996037,1320.9952006848546,3592.9904723246746,873017154.976496
5376.999783966883,2478.0631086173316,4655.472980696953,8142.152653868931,1965.9569343045182,4235.336946670028,7797.489859316842,204.29818970921897,4521.788598100271,873017154.976496
