Date/Time,Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/04  12:00:00,7800298.258873127,0.0,1712339.9184327582 
 01/04  13:00:00,6300682.854093208,0.0,4441701.257839054 
 01/04  14:00:00,5644695.41401068,0.0,1712339.9184327582 
 01/04  15:00:00,6039043.467402037,0.0,4441839.372110011 
 01/04  16:00:00,8261174.703373176,0.0,1712339.9184327582 
 01/04  17:00:00,10816061.814218953,0.0,1712339.9184327582 
 01/04  18:00:00,11929099.572813187,0.0,4645962.221267813 
 01/04  19:00:00,12531662.326761566,0.0,4645871.438717135 
 01/04  20:00:00,2777528.296776685,0.0,4645456.99639406 
 01/04  21:00:00,5425576.415600396,0.0,3390959.144171117 
 01/04  22:00:00,6183439.333958214,0.0,2953211.8030164232 
 01/04  23:00:00,5208664.932032296,0.0,4615005.3143493 
 01/04  24:00:00,5600909.028285375,0.0,4614316.61393314 
 01/05  01:00:00,5738476.094257392,0.0,1712339.9184327582 
 01/05  02:00:00,5928432.732895784,0.0,1712339.9184327582 
 01/05  03:00:00,6228933.278163057,0.0,2175884.5525069004 
 01/05  04:00:00,6512399.947565928,0.0,3903158.511571383 
 01/05  05:00:00,6758950.061371401,0.0,1712339.9184327582 
 01/05  06:00:00,7019921.46840287,0.0,1712339.9184327582 
 01/05  07:00:00,9019445.367321715,0.0,4614547.615810526 
 01/05  08:00:00,19971556.32957729,0.0,4614804.773668785 
 01/05  09:00:00,18606390.651652817,0.0,4780881.31795058 
 01/05  10:00:00,15190512.060591888,0.0,4781543.12720646 
 01/05  11:00:00,12174652.09933424,0.0,1712339.9184327582 
 01/05  12:00:00,10007700.54992701,0.0,1865687.9648003594 
 01/05  13:00:00,8573167.837085448,0.0,4288803.830477553 
 01/05  14:00:00,7873065.27829748,0.0,1712339.9184327582 
 01/05  15:00:00,8327388.278793926,0.0,4442219.891608182 
 01/05  16:00:00,10441194.659848314,0.0,1712339.9184327582 
 01/05  17:00:00,12683242.374822129,0.0,4441718.490259737 
 01/05  18:00:00,13588655.598985719,0.0,1712339.9184327582 
 01/05  19:00:00,13956180.145034583,0.0,4645968.3230842715 
 01/05  20:00:00,3448051.4470354607,0.0,4645064.294444547 
 01/05  21:00:00,5733668.52989679,0.0,4645507.980073932 
 01/05  22:00:00,6263825.616188781,0.0,2321484.0022579394 
 01/05  23:00:00,5049523.503250967,0.0,4005436.816896905 
 01/05  24:00:00,5332754.135631014,0.0,4614759.754432111 
 01/06  01:00:00,5568011.26932998,0.0,1712339.9184327582 
 01/06  02:00:00,5792391.228975807,0.0,1712339.9184327582 
 01/06  03:00:00,5976872.28810562,0.0,4367000.313870424 
 01/06  04:00:00,6121101.677182555,0.0,1712339.9184327582 
 01/06  05:00:00,6260896.1384933125,0.0,1712339.9184327582 
 01/06  06:00:00,6376087.757439403,0.0,4366580.09253941 
 01/06  07:00:00,8131773.580085321,0.0,1712339.9184327582 
 01/06  08:00:00,18968334.03452117,0.0,4614184.564204353 
 01/06  09:00:00,17742560.57725232,0.0,4780752.290350951 
 01/06  10:00:00,16477744.63695369,0.0,4780829.818269672 
 01/06  11:00:00,15437734.96714367,0.0,1712339.9184327582 
 01/06  12:00:00,14450055.484242026,0.0,4441912.400859496 
