Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Dewpoint Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Solar Azimuth Angle [deg](Daily),Environment:Site Solar Altitude Angle [deg](Daily),MYDHW_1_WATERHEATER:Water Heater Heating Energy [J](Daily),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),Electricity:Facility [J](Hourly) 
 01/05  12:00:00,,,,,,,,,24660004.803433936,0.0,4566240.878071144 
 01/05  13:00:00,,,,,,,,,23282572.42433621,0.0,7375811.409358919 
 01/05  14:00:00,,,,,,,,,20509293.232068256,0.0,7375631.593596504 
 01/05  15:00:00,,,,,,,,,17469491.595855128,0.0,4566240.878071144 
 01/05  16:00:00,,,,,,,,,18621357.58880468,0.0,7375430.590883653 
 01/05  17:00:00,,,,,,,,,21954375.34970541,0.0,4566240.878071144 
 01/05  18:00:00,,,,,,,,,22802600.557302125,0.0,8714397.638499271 
 01/05  19:00:00,,,,,,,,,22790185.58262697,0.0,10181038.947657933 
 01/05  20:00:00,,,,,,,,,1743139.1174441127,0.0,7913573.269792783 
 01/05  21:00:00,,,,,,,,,4628927.892647514,0.0,7844259.641761322 
 01/05  22:00:00,,,,,,,,,5456906.654641842,0.0,7767286.311251611 
 01/05  23:00:00,,,,,,,,,5968699.469615534,0.0,7767440.891353918 
 01/05  24:00:00,-4.088541666666665,-7.080208333333332,-5.141229228510597,14.5703125,132.4921875,171.49660012976298,-20.001856138640335,51377346.82841364,6430874.284954054,0.0,7768051.677710062 
 01/06  01:00:00,,,,,,,,,6867785.435446564,0.0,6799917.6533886455 
 01/06  02:00:00,,,,,,,,,7281263.295455588,0.0,4986914.130170771 
 01/06  03:00:00,,,,,,,,,7636213.561508372,0.0,4566240.878071144 
 01/06  04:00:00,,,,,,,,,7913663.166806333,0.0,4566240.878071144 
 01/06  05:00:00,,,,,,,,,8173307.350353791,0.0,7220939.825390602 
 01/06  06:00:00,,,,,,,,,8390147.575865312,0.0,4566240.878071144 
 01/06  07:00:00,,,,,,,,,8599607.383457545,0.0,7767403.422852457 
 01/06  08:00:00,,,,,,,,,33517988.03900758,0.0,7767311.216617039 
 01/06  09:00:00,,,,,,,,,30379175.88307762,0.0,9793166.264775693 
 01/06  10:00:00,,,,,,,,,27581910.84911976,0.0,10247901.331813611 
 01/06  11:00:00,,,,,,,,,25245065.908363484,0.0,4566240.878071144 
 01/06  12:00:00,,,,,,,,,23325192.840860613,0.0,7375748.8139897855 
 01/06  13:00:00,,,,,,,,,22193076.17979724,0.0,7375772.549750391 
 01/06  14:00:00,,,,,,,,,21447762.674787898,0.0,4566240.878071144 
 01/06  15:00:00,,,,,,,,,20755491.170794524,0.0,7375796.251489542 
 01/06  16:00:00,,,,,,,,,20885140.62459503,0.0,4566240.878071144 
 01/06  17:00:00,,,,,,,,,21309168.467204224,0.0,7375786.824231053 
